:ID(Component),system_id,type,name
AC1028-S01-C05,AC1028-S01,Control Unit,Control Unit
AC1028-S02-C01,AC1028-S02,Turbine,Turbine
AC1028-S02-C02,AC1028-S02,Compressor,Compressor
AC1028-S02-C03,AC1028-S02,Combustor,Combustor
AC1028-S02-C04,AC1028-S02,Nozzle,Nozzle
AC1028-S02-C05,AC1028-S02,Control Unit,Control Unit
AC1028-S03-C01,AC1028-S03,Flight Computer,Flight Computer
AC1028-S03-C02,AC1028-S03,Navigation Unit,Navigation Unit
AC1028-S03-C03,AC1028-S03,Communication Unit,Communication Unit
AC1028-S04-C01,AC1028-S04,Pump,Pump
AC1028-S04-C02,AC1028-S04,Filter,Filter
AC1028-S04-C03,AC1028-S04,Reservoir,Reservoir
AC1028-S04-C04,AC1028-S04,Actuator,Actuator
AC1029-S01-C01,AC1029-S01,Turbine,Turbine
AC1029-S01-C02,AC1029-S01,Compressor,Compressor
AC1029-S01-C03,AC1029-S01,Combustor,Combustor
AC1029-S01-C04,AC1029-S01,Nozzle,Nozzle
AC1029-S01-C05,AC1029-S01,Control Unit,Control Unit
AC1029-S02-C01,AC1029-S02,Turbine,Turbine
AC1029-S02-C02,AC1029-S02,Compressor,Compressor
AC1029-S02-C03,AC1029-S02,Combustor,Combustor
AC1029-S02-C04,AC1029-S02,Nozzle,Nozzle
AC1029-S02-C05,AC1029-S02,Control Unit,Control Unit
AC1029-S03-C01,AC1029-S03,Flight Computer,Flight Computer
AC1029-S03-C02,AC1029-S03,Navigation Unit,Navigation Unit
AC1029-S03-C03,AC1029-S03,Communication Unit,Communication Unit
AC1029-S04-C01,AC1029-S04,Pump,Pump
AC1029-S04-C02,AC1029-S04,Filter,Filter
AC1029-S04-C03,AC1029-S04,Reservoir,Reservoir
AC1029-S04-C04,AC1029-S04,Actuator,Actuator
AC1030-S01-C01,AC1030-S01,Turbine,Turbine
AC1030-S01-C02,AC1030-S01,Compressor,Compressor
AC1030-S01-C03,AC1030-S01,Combustor,Combustor
AC1030-S01-C04,AC1030-S01,Nozzle,Nozzle
AC1030-S01-C05,AC1030-S01,Control Unit,Control Unit
AC1030-S02-C01,AC1030-S02,Turbine,Turbine
AC1030-S02-C02,AC1030-S02,Compressor,Compressor
AC1030-S02-C03,AC1030-S02,Combustor,Combustor
AC1030-S02-C04,AC1030-S02,Nozzle,Nozzle
AC1030-S02-C05,AC1030-S02,Control Unit,Control Unit
AC1030-S03-C01,AC1030-S03,Flight Computer,Flight Computer
AC1030-S03-C02,AC1030-S03,Navigation Unit,Navigation Unit
AC1030-S03-C03,AC1030-S03,Communication Unit,Communication Unit
AC1030-S04-C01,AC1030-S04,Pump,Pump
AC1030-S04-C02,AC1030-S04,Filter,Filter
AC1030-S04-C03,AC1030-S04,Reservoir,Reservoir
AC1030-S04-C04,AC1030-S04,Actuator,Actuator
AC1031-S01-C01,AC1031-S01,Turbine,Turbine
AC1031-S01-C02,AC1031-S01,Compressor,Compressor
AC1031-S01-C03,AC1031-S01,Combustor,Combustor
AC1031-S01-C04,AC1031-S01,Nozzle,Nozzle
AC1031-S01-C05,AC1031-S01,Control Unit,Control Unit
AC1031-S02-C01,AC1031-S02,Turbine,Turbine
AC1031-S02-C02,AC1031-S02,Compressor,Compressor
AC1031-S02-C03,AC1031-S02,Combustor,Combustor
AC1031-S02-C04,AC1031-S02,Nozzle,Nozzle
AC1031-S02-C05,AC1031-S02,Control Unit,Control Unit
AC1031-S03-C01,AC1031-S03,Flight Computer,Flight Computer
AC1031-S03-C02,AC1031-S03,Navigation Unit,Navigation Unit
AC1031-S03-C03,AC1031-S03,Communication Unit,Communication Unit
AC1031-S04-C01,AC1031-S04,Pump,Pump
AC1031-S04-C02,AC1031-S04,Filter,Filter
AC1031-S04-C03,AC1031-S04,Reservoir,Reservoir
AC1031-S04-C04,AC1031-S04,Actuator,Actuator
AC1032-S01-C01,AC1032-S01,Turbine,Turbine
AC1032-S01-C02,AC1032-S01,Compressor,Compressor
AC1032-S01-C03,AC1032-S01,Combustor,Combustor
AC1032-S01-C04,AC1032-S01,Nozzle,Nozzle
AC1032-S01-C05,AC1032-S01,Control Unit,Control Unit
AC1032-S02-C01,AC1032-S02,Turbine,Turbine
AC1032-S02-C02,AC1032-S02,Compressor,Compressor
AC1032-S02-C03,AC1032-S02,Combustor,Combustor
AC1032-S02-C04,AC1032-S02,Nozzle,Nozzle
AC1032-S02-C05,AC1032-S02,Control Unit,Control Unit
AC1032-S03-C01,AC1032-S03,Flight Computer,Flight Computer
AC1032-S03-C02,AC1032-S03,Navigation Unit,Navigation Unit
AC1032-S03-C03,AC1032-S03,Communication Unit,Communication Unit
AC1032-S04-C01,AC1032-S04,Pump,Pump
AC1032-S04-C02,AC1032-S04,Filter,Filter
AC1032-S04-C03,AC1032-S04,Reservoir,Reservoir
AC1032-S04-C04,AC1032-S04,Actuator,Actuator
AC1033-S01-C01,AC1033-S01,Turbine,Turbine
AC1033-S01-C02,AC1033-S01,Compressor,Compressor
AC1033-S01-C03,AC1033-S01,Combustor,Combustor
AC1033-S01-C04,AC1033-S01,Nozzle,Nozzle
AC1033-S01-C05,AC1033-S01,Control Unit,Control Unit
AC1033-S02-C01,AC1033-S02,Turbine,Turbine
AC1033-S02-C02,AC1033-S02,Compressor,Compressor
AC1033-S02-C03,AC1033-S02,Combustor,Combustor
AC1033-S02-C04,AC1033-S02,Nozzle,Nozzle
AC1033-S02-C05,AC1033-S02,Control Unit,Control Unit
AC1033-S03-C01,AC1033-S03,Flight Computer,Flight Computer
AC1033-S03-C02,AC1033-S03,Navigation Unit,Navigation Unit
AC1033-S03-C03,AC1033-S03,Communication Unit,Communication Unit
AC1033-S04-C01,AC1033-S04,Pump,Pump
AC1033-S04-C02,AC1033-S04,Filter,Filter
AC1033-S04-C03,AC1033-S04,Reservoir,Reservoir
AC1033-S04-C04,AC1033-S04,Actuator,Actuator
AC1034-S01-C01,AC1034-S01,Turbine,Turbine
AC1034-S01-C02,AC1034-S01,Compressor,Compressor
AC1034-S01-C03,AC1034-S01,Combustor,Combustor
AC1034-S01-C04,AC1034-S01,Nozzle,Nozzle
AC1034-S01-C05,AC1034-S01,Control Unit,Control Unit
AC1034-S02-C01,AC1034-S02,Turbine,Turbine
AC1034-S02-C02,AC1034-S02,Compressor,Compressor
AC1034-S02-C03,AC1034-S02,Combustor,Combustor
AC1034-S02-C04,AC1034-S02,Nozzle,Nozzle
AC1034-S02-C05,AC1034-S02,Control Unit,Control Unit
AC1034-S03-C01,AC1034-S03,Flight Computer,Flight Computer
AC1034-S03-C02,AC1034-S03,Navigation Unit,Navigation Unit
AC1034-S03-C03,AC1034-S03,Communication Unit,Communication Unit
AC1034-S04-C01,AC1034-S04,Pump,Pump
AC1034-S04-C02,AC1034-S04,Filter,Filter
AC1034-S04-C03,AC1034-S04,Reservoir,Reservoir
AC1034-S04-C04,AC1034-S04,Actuator,Actuator
AC1035-S01-C01,AC1035-S01,Turbine,Turbine
AC1035-S01-C02,AC1035-S01,Compressor,Compressor
AC1035-S01-C03,AC1035-S01,Combustor,Combustor
AC1035-S01-C04,AC1035-S01,Nozzle,Nozzle
AC1035-S01-C05,AC1035-S01,Control Unit,Control Unit
AC1035-S02-C01,AC1035-S02,Turbine,Turbine
AC1035-S02-C02,AC1035-S02,Compressor,Compressor
AC1035-S02-C03,AC1035-S02,Combustor,Combustor
AC1035-S02-C04,AC1035-S02,Nozzle,Nozzle
AC1035-S02-C05,AC1035-S02,Control Unit,Control Unit
AC1035-S03-C01,AC1035-S03,Flight Computer,Flight Computer
AC1035-S03-C02,AC1035-S03,Navigation Unit,Navigation Unit
AC1035-S03-C03,AC1035-S03,Communication Unit,Communication Unit
AC1035-S04-C01,AC1035-S04,Pump,Pump
AC1035-S04-C02,AC1035-S04,Filter,Filter
AC1035-S04-C03,AC1035-S04,Reservoir,Reservoir
AC1035-S04-C04,AC1035-S04,Actuator,Actuator
AC1036-S01-C01,AC1036-S01,Turbine,Turbine
AC1036-S01-C02,AC1036-S01,Compressor,Compressor
AC1036-S01-C03,AC1036-S01,Combustor,Combustor
AC1036-S01-C04,AC1036-S01,Nozzle,Nozzle
AC1036-S01-C05,AC1036-S01,Control Unit,Control Unit
AC1036-S02-C01,AC1036-S02,Turbine,Turbine
AC1036-S02-C02,AC1036-S02,Compressor,Compressor
AC1036-S02-C03,AC1036-S02,Combustor,Combustor
AC1036-S02-C04,AC1036-S02,Nozzle,Nozzle
AC1036-S02-C05,AC1036-S02,Control Unit,Control Unit
AC1036-S03-C01,AC1036-S03,Flight Computer,Flight Computer
AC1036-S03-C02,AC1036-S03,Navigation Unit,Navigation Unit
AC1036-S03-C03,AC1036-S03,Communication Unit,Communication Unit
AC1036-S04-C01,AC1036-S04,Pump,Pump
AC1036-S04-C02,AC1036-S04,Filter,Filter
AC1036-S04-C03,AC1036-S04,Reservoir,Reservoir
AC1036-S04-C04,AC1036-S04,Actuator,Actuator
AC1037-S01-C01,AC1037-S01,Turbine,Turbine
AC1037-S01-C02,AC1037-S01,Compressor,Compressor
AC1037-S01-C03,AC1037-S01,Combustor,Combustor
AC1037-S01-C04,AC1037-S01,Nozzle,Nozzle
AC1037-S01-C05,AC1037-S01,Control Unit,Control Unit
AC1037-S02-C01,AC1037-S02,Turbine,Turbine
AC1037-S02-C02,AC1037-S02,Compressor,Compressor
AC1037-S02-C03,AC1037-S02,Combustor,Combustor
AC1037-S02-C04,AC1037-S02,Nozzle,Nozzle
AC1037-S02-C05,AC1037-S02,Control Unit,Control Unit
AC1037-S03-C01,AC1037-S03,Flight Computer,Flight Computer
AC1037-S03-C02,AC1037-S03,Navigation Unit,Navigation Unit
AC1037-S03-C03,AC1037-S03,Communication Unit,Communication Unit
AC1037-S04-C01,AC1037-S04,Pump,Pump
AC1037-S04-C02,AC1037-S04,Filter,Filter
AC1037-S04-C03,AC1037-S04,Reservoir,Reservoir
AC1037-S04-C04,AC1037-S04,Actuator,Actuator
AC1038-S01-C01,AC1038-S01,Turbine,Turbine
AC1038-S01-C02,AC1038-S01,Compressor,Compressor
AC1038-S01-C03,AC1038-S01,Combustor,Combustor
AC1038-S01-C04,AC1038-S01,Nozzle,Nozzle
AC1038-S01-C05,AC1038-S01,Control Unit,Control Unit
AC1038-S02-C01,AC1038-S02,Turbine,Turbine
AC1038-S02-C02,AC1038-S02,Compressor,Compressor
AC1038-S02-C03,AC1038-S02,Combustor,Combustor
AC1038-S02-C04,AC1038-S02,Nozzle,Nozzle
AC1038-S02-C05,AC1038-S02,Control Unit,Control Unit
AC1038-S03-C01,AC1038-S03,Flight Computer,Flight Computer
AC1038-S03-C02,AC1038-S03,Navigation Unit,Navigation Unit
AC1038-S03-C03,AC1038-S03,Communication Unit,Communication Unit
AC1038-S04-C01,AC1038-S04,Pump,Pump
AC1038-S04-C02,AC1038-S04,Filter,Filter
AC1038-S04-C03,AC1038-S04,Reservoir,Reservoir
AC1038-S04-C04,AC1038-S04,Actuator,Actuator
AC1039-S01-C01,AC1039-S01,Turbine,Turbine
AC1039-S01-C02,AC1039-S01,Compressor,Compressor
AC1039-S01-C03,AC1039-S01,Combustor,Combustor
AC1039-S01-C04,AC1039-S01,Nozzle,Nozzle
AC1039-S01-C05,AC1039-S01,Control Unit,Control Unit
AC1039-S02-C01,AC1039-S02,Turbine,Turbine
AC1039-S02-C02,AC1039-S02,Compressor,Compressor
AC1039-S02-C03,AC1039-S02,Combustor,Combustor
AC1039-S02-C04,AC1039-S02,Nozzle,Nozzle
AC1039-S02-C05,AC1039-S02,Control Unit,Control Unit
AC1039-S03-C01,AC1039-S03,Flight Computer,Flight Computer
AC1039-S03-C02,AC1039-S03,Navigation Unit,Navigation Unit
AC1039-S03-C03,AC1039-S03,Communication Unit,Communication Unit
AC1039-S04-C01,AC1039-S04,Pump,Pump
AC1039-S04-C02,AC1039-S04,Filter,Filter
AC1039-S04-C03,AC1039-S04,Reservoir,Reservoir
AC1039-S04-C04,AC1039-S04,Actuator,Actuator
AC1040-S01-C01,AC1040-S01,Turbine,Turbine
AC1040-S01-C02,AC1040-S01,Compressor,Compressor
AC1040-S01-C03,AC1040-S01,Combustor,Combustor
AC1040-S01-C04,AC1040-S01,Nozzle,Nozzle
AC1040-S01-C05,AC1040-S01,Control Unit,Control Unit
AC1040-S02-C01,AC1040-S02,Turbine,Turbine
AC1040-S02-C02,AC1040-S02,Compressor,Compressor
AC1040-S02-C03,AC1040-S02,Combustor,Combustor
AC1040-S02-C04,AC1040-S02,Nozzle,Nozzle
AC1040-S02-C05,AC1040-S02,Control Unit,Control Unit
AC1040-S03-C01,AC1040-S03,Flight Computer,Flight Computer
AC1040-S03-C02,AC1040-S03,Navigation Unit,Navigation Unit
AC1040-S03-C03,AC1040-S03,Communication Unit,Communication Unit
AC1040-S04-C01,AC1040-S04,Pump,Pump
AC1040-S04-C02,AC1040-S04,Filter,Filter
AC1040-S04-C03,AC1040-S04,Reservoir,Reservoir
AC1040-S04-C04,AC1040-S04,Actuator,Actuator
AC1041-S01-C01,AC1041-S01,Turbine,Turbine
AC1041-S01-C02,AC1041-S01,Compressor,Compressor
AC1041-S01-C03,AC1041-S01,Combustor,Combustor
AC1041-S01-C04,AC1041-S01,Nozzle,Nozzle
AC1041-S01-C05,AC1041-S01,Control Unit,Control Unit
AC1041-S02-C01,AC1041-S02,Turbine,Turbine
AC1041-S02-C02,AC1041-S02,Compressor,Compressor
AC1041-S02-C03,AC1041-S02,Combustor,Combustor
AC1041-S02-C04,AC1041-S02,Nozzle,Nozzle
AC1041-S02-C05,AC1041-S02,Control Unit,Control Unit
AC1041-S03-C01,AC1041-S03,Flight Computer,Flight Computer
AC1041-S03-C02,AC1041-S03,Navigation Unit,Navigation Unit
AC1041-S03-C03,AC1041-S03,Communication Unit,Communication Unit
AC1041-S04-C01,AC1041-S04,Pump,Pump
AC1041-S04-C02,AC1041-S04,Filter,Filter
AC1041-S04-C03,AC1041-S04,Reservoir,Reservoir
AC1041-S04-C04,AC1041-S04,Actuator,Actuator
AC1042-S01-C01,AC1042-S01,Turbine,Turbine
AC1042-S01-C02,AC1042-S01,Compressor,Compressor
AC1042-S01-C03,AC1042-S01,Combustor,Combustor
AC1042-S01-C04,AC1042-S01,Nozzle,Nozzle
AC1042-S01-C05,AC1042-S01,Control Unit,Control Unit
AC1042-S02-C01,AC1042-S02,Turbine,Turbine
AC1042-S02-C02,AC1042-S02,Compressor,Compressor
AC1042-S02-C03,AC1042-S02,Combustor,Combustor
AC1042-S02-C04,AC1042-S02,Nozzle,Nozzle
AC1042-S02-C05,AC1042-S02,Control Unit,Control Unit
AC1042-S03-C01,AC1042-S03,Flight Computer,Flight Computer
AC1042-S03-C02,AC1042-S03,Navigation Unit,Navigation Unit
AC1042-S03-C03,AC1042-S03,Communication Unit,Communication Unit
AC1042-S04-C01,AC1042-S04,Pump,Pump
AC1042-S04-C02,AC1042-S04,Filter,Filter
AC1042-S04-C03,AC1042-S04,Reservoir,Reservoir
AC1042-S04-C04,AC1042-S04,Actuator,Actuator
AC1043-S01-C01,AC1043-S01,Turbine,Turbine
AC1043-S01-C02,AC1043-S01,Compressor,Compressor
AC1043-S01-C03,AC1043-S01,Combustor,Combustor
AC1043-S01-C04,AC1043-S01,Nozzle,Nozzle
AC1043-S01-C05,AC1043-S01,Control Unit,Control Unit
AC1043-S02-C01,AC1043-S02,Turbine,Turbine
AC1043-S02-C02,AC1043-S02,Compressor,Compressor
AC1043-S02-C03,AC1043-S02,Combustor,Combustor
AC1043-S02-C04,AC1043-S02,Nozzle,Nozzle
AC1043-S02-C05,AC1043-S02,Control Unit,Control Unit
AC1043-S03-C01,AC1043-S03,Flight Computer,Flight Computer
AC1043-S03-C02,AC1043-S03,Navigation Unit,Navigation Unit
AC1043-S03-C03,AC1043-S03,Communication Unit,Communication Unit
AC1043-S04-C01,AC1043-S04,Pump,Pump
AC1043-S04-C02,AC1043-S04,Filter,Filter
AC1043-S04-C03,AC1043-S04,Reservoir,Reservoir
AC1043-S04-C04,AC1043-S04,Actuator,Actuator
AC1044-S01-C01,AC1044-S01,Turbine,Turbine
AC1044-S01-C02,AC1044-S01,Compressor,Compressor
AC1044-S01-C03,AC1044-S01,Combustor,Combustor
AC1044-S01-C04,AC1044-S01,Nozzle,Nozzle
AC1044-S01-C05,AC1044-S01,Control Unit,Control Unit
AC1044-S02-C01,AC1044-S02,Turbine,Turbine
AC1044-S02-C02,AC1044-S02,Compressor,Compressor
AC1044-S02-C03,AC1044-S02,Combustor,Combustor
AC1044-S02-C04,AC1044-S02,Nozzle,Nozzle
AC1044-S02-C05,AC1044-S02,Control Unit,Control Unit
AC1044-S03-C01,AC1044-S03,Flight Computer,Flight Computer
AC1044-S03-C02,AC1044-S03,Navigation Unit,Navigation Unit
AC1044-S03-C03,AC1044-S03,Communication Unit,Communication Unit
AC1044-S04-C01,AC1044-S04,Pump,Pump
AC1044-S04-C02,AC1044-S04,Filter,Filter
AC1044-S04-C03,AC1044-S04,Reservoir,Reservoir
AC1044-S04-C04,AC1044-S04,Actuator,Actuator
AC1045-S01-C01,AC1045-S01,Turbine,Turbine
AC1045-S01-C02,AC1045-S01,Compressor,Compressor
AC1045-S01-C03,AC1045-S01,Combustor,Combustor
AC1045-S01-C04,AC1045-S01,Nozzle,Nozzle
AC1045-S01-C05,AC1045-S01,Control Unit,Control Unit
AC1045-S02-C01,AC1045-S02,Turbine,Turbine
AC1045-S02-C02,AC1045-S02,Compressor,Compressor
AC1045-S02-C03,AC1045-S02,Combustor,Combustor
AC1045-S02-C04,AC1045-S02,Nozzle,Nozzle
AC1045-S02-C05,AC1045-S02,Control Unit,Control Unit
AC1045-S03-C01,AC1045-S03,Flight Computer,Flight Computer
AC1045-S03-C02,AC1045-S03,Navigation Unit,Navigation Unit
AC1045-S03-C03,AC1045-S03,Communication Unit,Communication Unit
AC1045-S04-C01,AC1045-S04,Pump,Pump
AC1045-S04-C02,AC1045-S04,Filter,Filter
AC1045-S04-C03,AC1045-S04,Reservoir,Reservoir
AC1045-S04-C04,AC1045-S04,Actuator,Actuator
AC1046-S01-C01,AC1046-S01,Turbine,Turbine
AC1046-S01-C02,AC1046-S01,Compressor,Compressor
AC1046-S01-C03,AC1046-S01,Combustor,Combustor
AC1046-S01-C04,AC1046-S01,Nozzle,Nozzle
AC1046-S01-C05,AC1046-S01,Control Unit,Control Unit
AC1046-S02-C01,AC1046-S02,Turbine,Turbine
AC1046-S02-C02,AC1046-S02,Compressor,Compressor
AC1046-S02-C03,AC1046-S02,Combustor,Combustor
AC1046-S02-C04,AC1046-S02,Nozzle,Nozzle
AC1046-S02-C05,AC1046-S02,Control Unit,Control Unit
AC1046-S03-C01,AC1046-S03,Flight Computer,Flight Computer
AC1046-S03-C02,AC1046-S03,Navigation Unit,Navigation Unit
AC1046-S03-C03,AC1046-S03,Communication Unit,Communication Unit
AC1046-S04-C01,AC1046-S04,Pump,Pump
AC1046-S04-C02,AC1046-S04,Filter,Filter
AC1046-S04-C03,AC1046-S04,Reservoir,Reservoir
AC1046-S04-C04,AC1046-S04,Actuator,Actuator
AC1047-S01-C01,AC1047-S01,Turbine,Turbine
AC1047-S01-C02,AC1047-S01,Compressor,Compressor
AC1047-S01-C03,AC1047-S01,Combustor,Combustor
AC1047-S01-C04,AC1047-S01,Nozzle,Nozzle
AC1047-S01-C05,AC1047-S01,Control Unit,Control Unit
AC1047-S02-C01,AC1047-S02,Turbine,Turbine
AC1047-S02-C02,AC1047-S02,Compressor,Compressor
AC1047-S02-C03,AC1047-S02,Combustor,Combustor
AC1047-S02-C04,AC1047-S02,Nozzle,Nozzle
AC1047-S02-C05,AC1047-S02,Control Unit,Control Unit
AC1047-S03-C01,AC1047-S03,Flight Computer,Flight Computer
AC1047-S03-C02,AC1047-S03,Navigation Unit,Navigation Unit
AC1047-S03-C03,AC1047-S03,Communication Unit,Communication Unit
AC1047-S04-C01,AC1047-S04,Pump,Pump
AC1047-S04-C02,AC1047-S04,Filter,Filter
AC1047-S04-C03,AC1047-S04,Reservoir,Reservoir
AC1047-S04-C04,AC1047-S04,Actuator,Actuator
AC1048-S01-C01,AC1048-S01,Turbine,Turbine
AC1048-S01-C02,AC1048-S01,Compressor,Compressor
AC1048-S01-C03,AC1048-S01,Combustor,Combustor
AC1048-S01-C04,AC1048-S01,Nozzle,Nozzle
AC1048-S01-C05,AC1048-S01,Control Unit,Control Unit
AC1048-S02-C01,AC1048-S02,Turbine,Turbine
AC1048-S02-C02,AC1048-S02,Compressor,Compressor
AC1048-S02-C03,AC1048-S02,Combustor,Combustor
AC1048-S02-C04,AC1048-S02,Nozzle,Nozzle
AC1048-S02-C05,AC1048-S02,Control Unit,Control Unit
AC1048-S03-C01,AC1048-S03,Flight Computer,Flight Computer
AC1048-S03-C02,AC1048-S03,Navigation Unit,Navigation Unit
AC1048-S03-C03,AC1048-S03,Communication Unit,Communication Unit
AC1048-S04-C01,AC1048-S04,Pump,Pump
AC1048-S04-C02,AC1048-S04,Filter,Filter
AC1048-S04-C03,AC1048-S04,Reservoir,Reservoir
AC1048-S04-C04,AC1048-S04,Actuator,Actuator
AC1049-S01-C01,AC1049-S01,Turbine,Turbine
AC1049-S01-C02,AC1049-S01,Compressor,Compressor
AC1049-S01-C03,AC1049-S01,Combustor,Combustor
AC1049-S01-C04,AC1049-S01,Nozzle,Nozzle
AC1049-S01-C05,AC1049-S01,Control Unit,Control Unit
AC1049-S02-C01,AC1049-S02,Turbine,Turbine
AC1049-S02-C02,AC1049-S02,Compressor,Compressor
AC1049-S02-C03,AC1049-S02,Combustor,Combustor
AC1049-S02-C04,AC1049-S02,Nozzle,Nozzle
AC1049-S02-C05,AC1049-S02,Control Unit,Control Unit
AC1049-S03-C01,AC1049-S03,Flight Computer,Flight Computer
AC1049-S03-C02,AC1049-S03,Navigation Unit,Navigation Unit
AC1049-S03-C03,AC1049-S03,Communication Unit,Communication Unit
AC1049-S04-C01,AC1049-S04,Pump,Pump
AC1049-S04-C02,AC1049-S04,Filter,Filter
AC1049-S04-C03,AC1049-S04,Reservoir,Reservoir
AC1049-S04-C04,AC1049-S04,Actuator,Actuator
AC1050-S01-C01,AC1050-S01,Turbine,Turbine
AC1050-S01-C02,AC1050-S01,Compressor,Compressor
AC1050-S01-C03,AC1050-S01,Combustor,Combustor
AC1050-S01-C04,AC1050-S01,Nozzle,Nozzle
AC1050-S01-C05,AC1050-S01,Control Unit,Control Unit
AC1050-S02-C01,AC1050-S02,Turbine,Turbine
AC1050-S02-C02,AC1050-S02,Compressor,Compressor
AC1050-S02-C03,AC1050-S02,Combustor,Combustor
AC1050-S02-C04,AC1050-S02,Nozzle,Nozzle
AC1050-S02-C05,AC1050-S02,Control Unit,Control Unit
AC1050-S03-C01,AC1050-S03,Flight Computer,Flight Computer
AC1050-S03-C02,AC1050-S03,Navigation Unit,Navigation Unit
AC1050-S03-C03,AC1050-S03,Communication Unit,Communication Unit
AC1050-S04-C01,AC1050-S04,Pump,Pump
AC1050-S04-C02,AC1050-S04,Filter,Filter
AC1050-S04-C03,AC1050-S04,Reservoir,Reservoir
AC1050-S04-C04,AC1050-S04,Actuator,Actuator
AC1051-S01-C01,AC1051-S01,Turbine,Turbine
AC1051-S01-C02,AC1051-S01,Compressor,Compressor
AC1051-S01-C03,AC1051-S01,Combustor,Combustor
AC1051-S01-C04,AC1051-S01,Nozzle,Nozzle
AC1051-S01-C05,AC1051-S01,Control Unit,Control Unit
AC1051-S02-C01,AC1051-S02,Turbine,Turbine
AC1051-S02-C02,AC1051-S02,Compressor,Compressor
AC1051-S02-C03,AC1051-S02,Combustor,Combustor
AC1051-S02-C04,AC1051-S02,Nozzle,Nozzle
AC1051-S02-C05,AC1051-S02,Control Unit,Control Unit
AC1051-S03-C01,AC1051-S03,Flight Computer,Flight Computer
AC1051-S03-C02,AC1051-S03,Navigation Unit,Navigation Unit
AC1051-S03-C03,AC1051-S03,Communication Unit,Communication Unit
AC1051-S04-C01,AC1051-S04,Pump,Pump
AC1051-S04-C02,AC1051-S04,Filter,Filter
AC1051-S04-C03,AC1051-S04,Reservoir,Reservoir
AC1051-S04-C04,AC1051-S04,Actuator,Actuator
AC1052-S01-C01,AC1052-S01,Turbine,Turbine
AC1052-S01-C02,AC1052-S01,Compressor,Compressor
AC1052-S01-C03,AC1052-S01,Combustor,Combustor
AC1052-S01-C04,AC1052-S01,Nozzle,Nozzle
AC1052-S01-C05,AC1052-S01,Control Unit,Control Unit
AC1052-S02-C01,AC1052-S02,Turbine,Turbine
AC1052-S02-C02,AC1052-S02,Compressor,Compressor
AC1052-S02-C03,AC1052-S02,Combustor,Combustor
AC1052-S02-C04,AC1052-S02,Nozzle,Nozzle
AC1052-S02-C05,AC1052-S02,Control Unit,Control Unit
AC1052-S03-C01,AC1052-S03,Flight Computer,Flight Computer
AC1052-S03-C02,AC1052-S03,Navigation Unit,Navigation Unit
AC1052-S03-C03,AC1052-S03,Communication Unit,Communication Unit
AC1052-S04-C01,AC1052-S04,Pump,Pump
AC1052-S04-C02,AC1052-S04,Filter,Filter
AC1052-S04-C03,AC1052-S04,Reservoir,Reservoir
AC1052-S04-C04,AC1052-S04,Actuator,Actuator
AC1053-S01-C01,AC1053-S01,Turbine,Turbine
AC1053-S01-C02,AC1053-S01,Compressor,Compressor
AC1053-S01-C03,AC1053-S01,Combustor,Combustor
AC1053-S01-C04,AC1053-S01,Nozzle,Nozzle
AC1053-S01-C05,AC1053-S01,Control Unit,Control Unit
AC1053-S02-C01,AC1053-S02,Turbine,Turbine
AC1053-S02-C02,AC1053-S02,Compressor,Compressor
AC1053-S02-C03,AC1053-S02,Combustor,Combustor
AC1053-S02-C04,AC1053-S02,Nozzle,Nozzle
AC1053-S02-C05,AC1053-S02,Control Unit,Control Unit
AC1053-S03-C01,AC1053-S03,Flight Computer,Flight Computer
AC1053-S03-C02,AC1053-S03,Navigation Unit,Navigation Unit
AC1053-S03-C03,AC1053-S03,Communication Unit,Communication Unit
AC1053-S04-C01,AC1053-S04,Pump,Pump
AC1053-S04-C02,AC1053-S04,Filter,Filter
AC1053-S04-C03,AC1053-S04,Reservoir,Reservoir
AC1053-S04-C04,AC1053-S04,Actuator,Actuator
AC1054-S01-C01,AC1054-S01,Turbine,Turbine
AC1054-S01-C02,AC1054-S01,Compressor,Compressor
AC1054-S01-C03,AC1054-S01,Combustor,Combustor
AC1054-S01-C04,AC1054-S01,Nozzle,Nozzle
AC1054-S01-C05,AC1054-S01,Control Unit,Control Unit
AC1054-S02-C01,AC1054-S02,Turbine,Turbine
AC1054-S02-C02,AC1054-S02,Compressor,Compressor
AC1054-S02-C03,AC1054-S02,Combustor,Combustor
AC1054-S02-C04,AC1054-S02,Nozzle,Nozzle
AC1054-S02-C05,AC1054-S02,Control Unit,Control Unit
AC1054-S03-C01,AC1054-S03,Flight Computer,Flight Computer
AC1054-S03-C02,AC1054-S03,Navigation Unit,Navigation Unit
AC1054-S03-C03,AC1054-S03,Communication Unit,Communication Unit
AC1054-S04-C01,AC1054-S04,Pump,Pump
AC1054-S04-C02,AC1054-S04,Filter,Filter
AC1054-S04-C03,AC1054-S04,Reservoir,Reservoir
AC1054-S04-C04,AC1054-S04,Actuator,Actuator
AC1055-S01-C01,AC1055-S01,Turbine,Turbine
AC1055-S01-C02,AC1055-S01,Compressor,Compressor
AC1055-S01-C03,AC1055-S01,Combustor,Combustor
AC1055-S01-C04,AC1055-S01,Nozzle,Nozzle
AC1055-S01-C05,AC1055-S01,Control Unit,Control Unit
AC1055-S02-C01,AC1055-S02,Turbine,Turbine
AC1055-S02-C02,AC1055-S02,Compressor,Compressor
AC1055-S02-C03,AC1055-S02,Combustor,Combustor
