:START_ID(Flight),:END_ID(Delay)
FL08600,DLY03130
FL08603,DLY03131
FL08604,DLY03132
FL08610,DLY03133
FL08611,DLY03134
FL08612,DLY03135
FL08613,DLY03136
FL08614,DLY03137
FL08616,DLY03138
FL08618,DLY03139
FL08622,DLY03140
FL08623,DLY03141
FL08625,DLY03142
FL08628,DLY03143
FL08629,DLY03144
FL08630,DLY03145
FL08634,DLY03146
FL08635,DLY03147
FL08637,DLY03148
FL08638,DLY03149
FL08642,DLY03150
FL08643,DLY03151
FL08645,DLY03152
FL08647,DLY03153
FL08653,DLY03154
FL08656,DLY03155
FL08657,DLY03156
FL08659,DLY03157
FL08661,DLY03158
FL08663,DLY03159
FL08666,DLY03160
FL08667,DLY03161
FL08668,DLY03162
FL08671,DLY03163
FL08673,DLY03164
FL08674,DLY03165
FL08678,DLY03166
FL08681,DLY03167
FL08686,DLY03168
FL08691,DLY03169
FL08692,DLY03170
FL08693,DLY03171
FL08694,DLY03172
FL08696,DLY03173
FL08700,DLY03174
FL08703,DLY03175
FL08706,DLY03176
FL08708,DLY03177
FL08709,DLY03178
FL08711,DLY03179
FL08713,DLY03180
FL08715,DLY03181
FL08716,DLY03182
FL08717,DLY03183
FL08718,DLY03184
FL08720,DLY03185
FL08722,DLY03186
FL08723,DLY03187
FL08724,DLY03188
FL08727,DLY03189
FL08728,DLY03190
FL08729,DLY03191
FL08731,DLY03192
FL08732,DLY03193
FL08735,DLY03194
FL08736,DLY03195
FL08741,DLY03196
FL08742,DLY03197
FL08743,DLY03198
FL08745,DLY03199
FL08752,DLY03200
FL08755,DLY03201
FL08756,DLY03202
FL08757,DLY03203
FL08758,DLY03204
FL08759,DLY03205
FL08761,DLY03206
FL08763,DLY03207
FL08765,DLY03208
FL08767,DLY03209
FL08770,DLY03210
FL08771,DLY03211
FL08772,DLY03212
FL08775,DLY03213
FL08778,DLY03214
FL08782,DLY03215
FL08783,DLY03216
FL08785,DLY03217
FL08786,DLY03218
FL08788,DLY03219
FL08789,DLY03220
FL08793,DLY03221
FL08796,DLY03222
FL08797,DLY03223
FL08798,DLY03224
FL08799,DLY03225
FL08800,DLY03226
FL08801,DLY03227
FL08803,DLY03228
FL08804,DLY03229
FL08805,DLY03230
FL08806,DLY03231
FL08808,DLY03232
FL08809,DLY03233
FL08811,DLY03234
FL08812,DLY03235
FL08813,DLY03236
FL08816,DLY03237
FL08819,DLY03238
FL08820,DLY03239
FL08824,DLY03240
FL08825,DLY03241
FL08826,DLY03242
FL08827,DLY03243
FL08830,DLY03244
FL08831,DLY03245
FL08832,DLY03246
FL08833,DLY03247
FL08834,DLY03248
FL08835,DLY03249
FL08836,DLY03250
FL08837,DLY03251
FL08840,DLY03252
FL08841,DLY03253
FL08844,DLY03254
FL08845,DLY03255
FL08846,DLY03256
FL08847,DLY03257
FL08851,DLY03258
FL08854,DLY03259
FL08855,DLY03260
FL08857,DLY03261
FL08858,DLY03262
FL08859,DLY03263
FL08860,DLY03264
FL08861,DLY03265
FL08863,DLY03266
FL08868,DLY03267
FL08869,DLY03268
FL08872,DLY03269
FL08873,DLY03270
FL08876,DLY03271
FL08877,DLY03272
FL08878,DLY03273
FL08882,DLY03274
FL08884,DLY03275
FL08886,DLY03276
FL08887,DLY03277
FL08889,DLY03278
FL08890,DLY03279
FL08891,DLY03280
FL08894,DLY03281
FL08896,DLY03282
FL08898,DLY03283
FL08899,DLY03284
FL08904,DLY03285
FL08910,DLY03286
FL08911,DLY03287
FL08912,DLY03288
FL08917,DLY03289
FL08920,DLY03290
FL08922,DLY03291
FL08923,DLY03292
FL08925,DLY03293
FL08926,DLY03294
FL08927,DLY03295
FL08929,DLY03296
FL08932,DLY03297
FL08936,DLY03298
FL08938,DLY03299
FL08939,DLY03300
FL08941,DLY03301
FL08942,DLY03302
FL08943,DLY03303
FL08944,DLY03304
FL08945,DLY03305
FL08950,DLY03306
FL08952,DLY03307
FL08953,DLY03308
FL08955,DLY03309
FL08956,DLY03310
FL08957,DLY03311
FL08958,DLY03312
FL08961,DLY03313
FL08962,DLY03314
FL08963,DLY03315
FL08965,DLY03316
FL08967,DLY03317
FL08969,DLY03318
FL08971,DLY03319
FL08972,DLY03320
FL08974,DLY03321
FL08978,DLY03322
FL08979,DLY03323
FL08986,DLY03324
FL08987,DLY03325
FL08988,DLY03326
FL08991,DLY03327
FL08993,DLY03328
FL08994,DLY03329
FL08995,DLY03330
FL08999,DLY03331
FL09006,DLY03332
FL09011,DLY03333
FL09012,DLY03334
FL09014,DLY03335
FL09025,DLY03336
FL09028,DLY03337
FL09031,DLY03338
FL09034,DLY03339
FL09035,DLY03340
FL09036,DLY03341
FL09041,DLY03342
FL09042,DLY03343
FL09044,DLY03344
FL09051,DLY03345
FL09052,DLY03346
FL09057,DLY03347
FL09058,DLY03348
FL09063,DLY03349
FL09064,DLY03350
FL09068,DLY03351
FL09071,DLY03352
FL09073,DLY03353
FL09080,DLY03354
FL09083,DLY03355
FL09089,DLY03356
FL09091,DLY03357
FL09093,DLY03358
FL09095,DLY03359
FL09096,DLY03360
FL09101,DLY03361
FL09105,DLY03362
FL09109,DLY03363
FL09111,DLY03364
FL09114,DLY03365
FL09115,DLY03366
FL09116,DLY03367
FL09118,DLY03368
FL09126,DLY03369
FL09127,DLY03370
FL09131,DLY03371
FL09132,DLY03372
FL09134,DLY03373
FL09138,DLY03374
FL09140,DLY03375
FL09143,DLY03376
FL09146,DLY03377
FL09150,DLY03378
FL09165,DLY03379
FL09173,DLY03380
FL09179,DLY03381
FL09184,DLY03382
FL09187,DLY03383
FL09193,DLY03384
FL09200,DLY03385
FL09206,DLY03386
FL09209,DLY03387
FL09210,DLY03388
FL09217,DLY03389
FL09218,DLY03390
FL09219,DLY03391
FL09224,DLY03392
FL09230,DLY03393
FL09232,DLY03394
FL09233,DLY03395
FL09238,DLY03396
FL09242,DLY03397
FL09256,DLY03398
FL09257,DLY03399
FL09258,DLY03400
FL09259,DLY03401
FL09260,DLY03402
FL09263,DLY03403
FL09267,DLY03404
FL09268,DLY03405
FL09275,DLY03406
FL09277,DLY03407
FL09282,DLY03408
FL09283,DLY03409
FL09294,DLY03410
FL09296,DLY03411
FL09300,DLY03412
FL09307,DLY03413
FL09309,DLY03414
FL09310,DLY03415
FL09322,DLY03416
FL09328,DLY03417
FL09338,DLY03418
FL09339,DLY03419
FL09351,DLY03420
FL09357,DLY03421
FL09362,DLY03422
FL09366,DLY03423
FL09369,DLY03424
FL09371,DLY03425
FL09375,DLY03426
FL09390,DLY03427
FL09394,DLY03428
FL09401,DLY03429
FL09411,DLY03430
FL09415,DLY03431
FL09419,DLY03432
FL09424,DLY03433
FL09426,DLY03434
FL09428,DLY03435
FL09431,DLY03436
FL09439,DLY03437
FL09441,DLY03438
FL09445,DLY03439
FL09451,DLY03440
FL09452,DLY03441
FL09454,DLY03442
FL09456,DLY03443
FL09457,DLY03444
FL09460,DLY03445
FL09461,DLY03446
FL09462,DLY03447
FL09466,DLY03448
FL09467,DLY03449
FL09472,DLY03450
FL09473,DLY03451
FL09476,DLY03452
FL09480,DLY03453
FL09493,DLY03454
FL09497,DLY03455
FL09498,DLY03456
FL09501,DLY03457
FL09503,DLY03458
FL09504,DLY03459
FL09505,DLY03460
FL09507,DLY03461
FL09517,DLY03462
FL09519,DLY03463
FL09520,DLY03464
FL09522,DLY03465
FL09527,DLY03466
FL09530,DLY03467
FL09533,DLY03468
FL09538,DLY03469
FL09545,DLY03470
FL09546,DLY03471
FL09548,DLY03472
FL09552,DLY03473
FL09553,DLY03474
FL09558,DLY03475
FL09559,DLY03476
FL09562,DLY03477
FL09563,DLY03478
FL09565,DLY03479
FL09566,DLY03480
FL09570,DLY03481
FL09573,DLY03482
FL09584,DLY03483
FL09593,DLY03484
FL09596,DLY03485
FL09598,DLY03486
FL09604,DLY03487
FL09610,DLY03488
FL09616,DLY03489
FL09617,DLY03490
FL09619,DLY03491
FL09621,DLY03492
FL09632,DLY03493
FL09634,DLY03494
FL09642,DLY03495
FL09648,DLY03496
FL09651,DLY03497
FL09657,DLY03498
FL09658,DLY03499
FL09659,DLY03500
FL09663,DLY03501
FL09665,DLY03502
FL09666,DLY03503
FL09667,DLY03504
FL09681,DLY03505
FL09682,DLY03506
FL09688,DLY03507
FL09695,DLY03508
FL09704,DLY03509
FL09707,DLY03510
FL09713,DLY03511
FL09714,DLY03512
FL09719,DLY03513
FL09720,DLY03514
FL09721,DLY03515
FL09724,DLY03516
FL09725,DLY03517
FL09728,DLY03518
FL09730,DLY03519
FL09731,DLY03520
FL09734,DLY03521
FL09740,DLY03522
FL09742,DLY03523
FL09759,DLY03524
FL09760,DLY03525
FL09761,DLY03526
FL09762,DLY03527
FL09768,DLY03528
FL09775,DLY03529
FL09780,DLY03530
FL09790,DLY03531
FL09795,DLY03532
FL09798,DLY03533
FL09806,DLY03534
FL09808,DLY03535
FL09813,DLY03536
FL09816,DLY03537
FL09818,DLY03538
FL09820,DLY03539
FL09830,DLY03540
FL09831,DLY03541
FL09835,DLY03542
FL09838,DLY03543
FL09839,DLY03544
FL09840,DLY03545
FL09848,DLY03546
FL09857,DLY03547
FL09860,DLY03548
FL09861,DLY03549
FL09864,DLY03550
FL09870,DLY03551
FL09872,DLY03552
FL09874,DLY03553
FL09875,DLY03554
FL09880,DLY03555
FL09883,DLY03556
FL09886,DLY03557
FL09889,DLY03558
FL09891,DLY03559
FL09895,DLY03560
FL09900,DLY03561
FL09904,DLY03562
FL09909,DLY03563
FL09913,DLY03564
FL09914,DLY03565
FL09918,DLY03566
FL09920,DLY03567
FL09921,DLY03568
FL09922,DLY03569
FL09925,DLY03570
FL09926,DLY03571
FL09934,DLY03572
FL09937,DLY03573
FL09939,DLY03574
FL09941,DLY03575
FL09942,DLY03576
FL09943,DLY03577
FL09944,DLY03578
FL09945,DLY03579
FL09946,DLY03580
FL09950,DLY03581
FL09954,DLY03582
FL09957,DLY03583
FL09958,DLY03584
FL09964,DLY03585
FL09970,DLY03586
FL09974,DLY03587
FL09976,DLY03588
FL09978,DLY03589
FL09979,DLY03590
FL09980,DLY03591
FL09985,DLY03592
FL09986,DLY03593
FL09989,DLY03594
FL09993,DLY03595
FL09994,DLY03596
FL09997,DLY03597
FL10000,DLY03598
FL10001,DLY03599
FL10015,DLY03600
FL10019,DLY03601
FL10020,DLY03602
FL10024,DLY03603
FL10025,DLY03604
FL10030,DLY03605
FL10031,DLY03606
FL10032,DLY03607
FL10034,DLY03608
FL10035,DLY03609
FL10037,DLY03610
FL10042,DLY03611
FL10046,DLY03612
FL10047,DLY03613
FL10050,DLY03614
FL10054,DLY03615
FL10058,DLY03616
FL10060,DLY03617
FL10066,DLY03618
FL10067,DLY03619
FL10068,DLY03620
FL10070,DLY03621
FL10074,DLY03622
FL10080,DLY03623
FL10084,DLY03624
FL10085,DLY03625
FL10087,DLY03626
FL10091,DLY03627
FL10092,DLY03628
FL10094,DLY03629
FL10095,DLY03630
FL10096,DLY03631
FL10097,DLY03632
FL10098,DLY03633
FL10099,DLY03634
FL10100,DLY03635
FL10104,DLY03636
FL10105,DLY03637
FL10112,DLY03638
FL10113,DLY03639
FL10114,DLY03640
FL10116,DLY03641
FL10119,DLY03642
FL10121,DLY03643
FL10126,DLY03644
FL10134,DLY03645
FL10138,DLY03646
FL10141,DLY03647
FL10145,DLY03648
FL10146,DLY03649
FL10150,DLY03650
FL10151,DLY03651
FL10152,DLY03652
FL10156,DLY03653
FL10157,DLY03654
FL10158,DLY03655
FL10159,DLY03656
FL10164,DLY03657
FL10166,DLY03658
FL10167,DLY03659
FL10168,DLY03660
FL10174,DLY03661
FL10175,DLY03662
FL10176,DLY03663
FL10177,DLY03664
FL10178,DLY03665
FL10180,DLY03666
FL10181,DLY03667
FL10183,DLY03668
FL10184,DLY03669
FL10185,DLY03670
FL10186,DLY03671
FL10190,DLY03672
FL10191,DLY03673
FL10192,DLY03674
FL10196,DLY03675
FL10199,DLY03676
FL10203,DLY03677
FL10210,DLY03678
FL10213,DLY03679
FL10215,DLY03680
FL10217,DLY03681
FL10221,DLY03682
FL10222,DLY03683
FL10223,DLY03684
FL10224,DLY03685
FL10225,DLY03686
FL10229,DLY03687
FL10230,DLY03688
FL10231,DLY03689
FL10238,DLY03690
FL10239,DLY03691
FL10240,DLY03692
FL10245,DLY03693
FL10247,DLY03694
FL10248,DLY03695
FL10256,DLY03696
FL10257,DLY03697
FL10258,DLY03698
FL10259,DLY03699
FL10263,DLY03700
FL10264,DLY03701
FL10265,DLY03702
FL10268,DLY03703
FL10277,DLY03704
FL10279,DLY03705
FL10282,DLY03706
FL10283,DLY03707
FL10284,DLY03708
FL10289,DLY03709
FL10292,DLY03710
FL10294,DLY03711
FL10295,DLY03712
FL10300,DLY03713
FL10302,DLY03714
FL10306,DLY03715
FL10308,DLY03716
FL10310,DLY03717
FL10312,DLY03718
FL10318,DLY03719
FL10328,DLY03720
FL10330,DLY03721
FL10332,DLY03722
FL10334,DLY03723
FL10335,DLY03724
FL10336,DLY03725
FL10341,DLY03726
FL10342,DLY03727
FL10348,DLY03728
FL10351,DLY03729
FL10353,DLY03730
FL10354,DLY03731
FL10359,DLY03732
FL10361,DLY03733
FL10362,DLY03734
FL10364,DLY03735
FL10370,DLY03736
FL10371,DLY03737
FL10372,DLY03738
FL10373,DLY03739
FL10375,DLY03740
FL10378,DLY03741
FL10379,DLY03742
FL10384,DLY03743
FL10391,DLY03744
FL10392,DLY03745
FL10393,DLY03746
FL10396,DLY03747
FL10397,DLY03748
FL10399,DLY03749
FL10403,DLY03750
FL10404,DLY03751
FL10406,DLY03752
FL10409,DLY03753
FL10410,DLY03754
FL10412,DLY03755
FL10415,DLY03756
FL10416,DLY03757
FL10417,DLY03758
FL10419,DLY03759
FL10421,DLY03760
FL10424,DLY03761
FL10426,DLY03762
FL10427,DLY03763
FL10430,DLY03764
FL10436,DLY03765
FL10438,DLY03766
FL10445,DLY03767
FL10446,DLY03768
FL10448,DLY03769
FL10451,DLY03770
FL10453,DLY03771
FL10457,DLY03772
FL10470,DLY03773
FL10472,DLY03774
FL10473,DLY03775
FL10475,DLY03776
FL10476,DLY03777
FL10477,DLY03778
FL10479,DLY03779
FL10480,DLY03780
FL10481,DLY03781
FL10484,DLY03782
FL10488,DLY03783
FL10489,DLY03784
FL10492,DLY03785
FL10495,DLY03786
FL10496,DLY03787
FL10497,DLY03788
FL10499,DLY03789
FL10508,DLY03790
FL10509,DLY03791
FL10510,DLY03792
FL10513,DLY03793
FL10515,DLY03794
FL10517,DLY03795
FL10523,DLY03796
FL10525,DLY03797
FL10526,DLY03798
FL10528,DLY03799
FL10530,DLY03800
FL10533,DLY03801
FL10534,DLY03802
FL10535,DLY03803
FL10537,DLY03804
FL10541,DLY03805
FL10542,DLY03806
FL10544,DLY03807
FL10553,DLY03808
FL10554,DLY03809
FL10561,DLY03810
FL10563,DLY03811
FL10566,DLY03812
FL10567,DLY03813
FL10569,DLY03814
FL10575,DLY03815
FL10578,DLY03816
FL10583,DLY03817
FL10584,DLY03818
FL10586,DLY03819
FL10592,DLY03820
FL10593,DLY03821
FL10595,DLY03822
FL10597,DLY03823
FL10598,DLY03824
FL10601,DLY03825
FL10603,DLY03826
FL10605,DLY03827
FL10606,DLY03828
FL10614,DLY03829
FL10615,DLY03830
FL10617,DLY03831
FL10618,DLY03832
FL10622,DLY03833
FL10624,DLY03834
FL10627,DLY03835
FL10630,DLY03836
FL10631,DLY03837
FL10632,DLY03838
FL10635,DLY03839
FL10636,DLY03840
FL10638,DLY03841
FL10639,DLY03842
FL10640,DLY03843
FL10648,DLY03844
FL10649,DLY03845
FL10655,DLY03846
FL10656,DLY03847
FL10659,DLY03848
FL10660,DLY03849
FL10665,DLY03850
FL10666,DLY03851
FL10667,DLY03852
FL10669,DLY03853
FL10670,DLY03854
FL10672,DLY03855
FL10673,DLY03856
FL10674,DLY03857
FL10676,DLY03858
FL10677,DLY03859
FL10681,DLY03860
FL10682,DLY03861
FL10684,DLY03862
FL10685,DLY03863
FL10688,DLY03864
FL10691,DLY03865
FL10693,DLY03866
FL10695,DLY03867
FL10696,DLY03868
FL10698,DLY03869
FL10699,DLY03870
FL10701,DLY03871
FL10702,DLY03872
FL10706,DLY03873
FL10710,DLY03874
FL10711,DLY03875
FL10714,DLY03876
FL10716,DLY03877
FL10717,DLY03878
FL10719,DLY03879
FL10723,DLY03880
FL10724,DLY03881
FL10725,DLY03882
FL10726,DLY03883
FL10728,DLY03884
FL10729,DLY03885
FL10730,DLY03886
FL10731,DLY03887
FL10732,DLY03888
FL10735,DLY03889
FL10737,DLY03890
FL10738,DLY03891
FL10740,DLY03892
FL10743,DLY03893
FL10745,DLY03894
FL10746,DLY03895
FL10749,DLY03896
FL10750,DLY03897
FL10755,DLY03898
FL10758,DLY03899
FL10760,DLY03900
FL10762,DLY03901
FL10763,DLY03902
FL10766,DLY03903
FL10768,DLY03904
FL10770,DLY03905
FL10772,DLY03906
FL10779,DLY03907
FL10780,DLY03908
FL10781,DLY03909
FL10782,DLY03910
FL10785,DLY03911
FL10790,DLY03912
FL10791,DLY03913
FL10792,DLY03914
FL10793,DLY03915
FL10794,DLY03916
FL10795,DLY03917
FL10798,DLY03918
FL10799,DLY03919
FL10812,DLY03920
FL10815,DLY03921
FL10818,DLY03922
FL10825,DLY03923
FL10826,DLY03924
FL10827,DLY03925
FL10830,DLY03926
FL10835,DLY03927
FL10840,DLY03928
FL10844,DLY03929
FL10845,DLY03930
FL10849,DLY03931
FL10852,DLY03932
FL10855,DLY03933
FL10859,DLY03934
FL10861,DLY03935
FL10863,DLY03936
FL10864,DLY03937
FL10868,DLY03938
FL10869,DLY03939
FL10871,DLY03940
FL10872,DLY03941
FL10885,DLY03942
FL10887,DLY03943
FL10888,DLY03944
FL10890,DLY03945
FL10894,DLY03946
FL10896,DLY03947
FL10897,DLY03948
FL10900,DLY03949
FL10904,DLY03950
FL10908,DLY03951
FL10909,DLY03952
FL10912,DLY03953
FL10914,DLY03954
FL10915,DLY03955
FL10918,DLY03956
FL10919,DLY03957
FL10920,DLY03958
FL10922,DLY03959
FL10923,DLY03960
FL10927,DLY03961
FL10929,DLY03962
FL10930,DLY03963
FL10932,DLY03964
FL10934,DLY03965
FL10939,DLY03966
FL10943,DLY03967
FL10946,DLY03968
FL10948,DLY03969
FL10953,DLY03970
FL10955,DLY03971
FL10962,DLY03972
FL10965,DLY03973
FL10967,DLY03974
FL10970,DLY03975
FL10973,DLY03976
FL10975,DLY03977
FL10978,DLY03978
FL10979,DLY03979
FL10980,DLY03980
FL10981,DLY03981
FL10985,DLY03982
FL10986,DLY03983
FL10989,DLY03984
FL10990,DLY03985
FL10991,DLY03986
FL10992,DLY03987
FL10993,DLY03988
FL10994,DLY03989
FL10995,DLY03990
FL10996,DLY03991
FL11001,DLY03992
FL11006,DLY03993
FL11007,DLY03994
FL11010,DLY03995
FL11011,DLY03996
FL11014,DLY03997
FL11015,DLY03998
FL11017,DLY03999
FL11025,DLY04000
FL11030,DLY04001
FL11031,DLY04002
FL11035,DLY04003
FL11036,DLY04004
FL11043,DLY04005
FL11046,DLY04006
FL11048,DLY04007
FL11049,DLY04008
FL11052,DLY04009
FL11055,DLY04010
FL11056,DLY04011
FL11057,DLY04012
FL11059,DLY04013
FL11060,DLY04014
FL11063,DLY04015
FL11067,DLY04016
FL11068,DLY04017
FL11069,DLY04018
FL11070,DLY04019
FL11078,DLY04020
FL11079,DLY04021
FL11082,DLY04022
FL11083,DLY04023
FL11086,DLY04024
FL11087,DLY04025
FL11090,DLY04026
FL11091,DLY04027
FL11092,DLY04028
FL11093,DLY04029
FL11094,DLY04030
FL11097,DLY04031
FL11100,DLY04032
FL11102,DLY04033
FL11105,DLY04034
FL11107,DLY04035
FL11108,DLY04036
FL11111,DLY04037
FL11112,DLY04038
FL11113,DLY04039
FL11116,DLY04040
FL11119,DLY04041
FL11120,DLY04042
FL11122,DLY04043
FL11124,DLY04044
FL11125,DLY04045
FL11127,DLY04046
FL11129,DLY04047
FL11130,DLY04048
FL11131,DLY04049
FL11133,DLY04050
FL11135,DLY04051
FL11141,DLY04052
FL11142,DLY04053
FL11143,DLY04054
FL11144,DLY04055
FL11145,DLY04056
FL11146,DLY04057
FL11147,DLY04058
FL11149,DLY04059
FL11152,DLY04060
FL11153,DLY04061
FL11155,DLY04062
FL11156,DLY04063
FL11159,DLY04064
FL11160,DLY04065
FL11161,DLY04066
FL11163,DLY04067
FL11164,DLY04068
FL11165,DLY04069
FL11167,DLY04070
FL11169,DLY04071
FL11174,DLY04072
FL11178,DLY04073
FL11180,DLY04074
FL11182,DLY04075
FL11184,DLY04076
FL11187,DLY04077
FL11188,DLY04078
FL11190,DLY04079
FL11191,DLY04080
FL11193,DLY04081
FL11194,DLY04082
FL11195,DLY04083
FL11198,DLY04084
FL11203,DLY04085
FL11205,DLY04086
FL11207,DLY04087
FL11210,DLY04088
FL11211,DLY04089
FL11213,DLY04090
FL11214,DLY04091
FL11215,DLY04092
FL11216,DLY04093
FL11219,DLY04094
FL11225,DLY04095
FL11226,DLY04096
FL11227,DLY04097
FL11228,DLY04098
FL11231,DLY04099
FL11238,DLY04100
FL11239,DLY04101
FL11241,DLY04102
FL11243,DLY04103
FL11247,DLY04104
FL11249,DLY04105
FL11250,DLY04106
FL11251,DLY04107
FL11252,DLY04108
FL11254,DLY04109
FL11256,DLY04110
FL11257,DLY04111
FL11260,DLY04112
FL11261,DLY04113
FL11262,DLY04114
FL11265,DLY04115
FL11267,DLY04116
FL11268,DLY04117
FL11270,DLY04118
FL11271,DLY04119
FL11272,DLY04120
FL11273,DLY04121
FL11276,DLY04122
FL11282,DLY04123
FL11283,DLY04124
FL11289,DLY04125
FL11290,DLY04126
FL11291,DLY04127
FL11293,DLY04128
FL11294,DLY04129
FL11295,DLY04130
FL11296,DLY04131
FL11297,DLY04132
FL11298,DLY04133
FL11300,DLY04134
FL11301,DLY04135
FL11302,DLY04136
FL11305,DLY04137
FL11309,DLY04138
FL11313,DLY04139
FL11317,DLY04140
FL11319,DLY04141
FL11320,DLY04142
FL11321,DLY04143
FL11323,DLY04144
FL11324,DLY04145
FL11325,DLY04146
FL11327,DLY04147
FL11328,DLY04148
FL11330,DLY04149
FL11332,DLY04150
FL11334,DLY04151
FL11338,DLY04152
FL11340,DLY04153
FL11343,DLY04154
FL11344,DLY04155
FL11349,DLY04156
FL11350,DLY04157
FL11352,DLY04158
FL11354,DLY04159
FL11358,DLY04160
FL11359,DLY04161
FL11362,DLY04162
FL11372,DLY04163
FL11373,DLY04164
FL11374,DLY04165
FL11375,DLY04166
FL11377,DLY04167
FL11379,DLY04168
FL11381,DLY04169
FL11382,DLY04170
FL11383,DLY04171
FL11385,DLY04172
FL11387,DLY04173
FL11388,DLY04174
FL11390,DLY04175
FL11391,DLY04176
FL11392,DLY04177
FL11393,DLY04178
FL11394,DLY04179
FL11396,DLY04180
FL11397,DLY04181
FL11399,DLY04182
FL11402,DLY04183
FL11404,DLY04184
FL11405,DLY04185
FL11407,DLY04186
FL11412,DLY04187
FL11415,DLY04188
FL11416,DLY04189
FL11417,DLY04190
FL11421,DLY04191
FL11423,DLY04192
FL11426,DLY04193
FL11435,DLY04194
FL11439,DLY04195
FL11444,DLY04196
FL11447,DLY04197
FL11448,DLY04198
FL11449,DLY04199
FL11451,DLY04200
FL11452,DLY04201
FL11455,DLY04202
FL11456,DLY04203
FL11459,DLY04204
FL11462,DLY04205
FL11463,DLY04206
FL11464,DLY04207
FL11465,DLY04208
FL11466,DLY04209
FL11468,DLY04210
FL11470,DLY04211
FL11477,DLY04212
FL11479,DLY04213
FL11482,DLY04214
FL11485,DLY04215
FL11492,DLY04216
FL11493,DLY04217
FL11498,DLY04218
FL11503,DLY04219
FL11504,DLY04220
FL11505,DLY04221
FL11510,DLY04222
FL11512,DLY04223
FL11515,DLY04224
FL11516,DLY04225
FL11517,DLY04226
FL11519,DLY04227
FL11520,DLY04228
FL11525,DLY04229
FL11527,DLY04230
FL11530,DLY04231
FL11535,DLY04232
FL11538,DLY04233
FL11539,DLY04234
FL11541,DLY04235
FL11542,DLY04236
FL11543,DLY04237
FL11544,DLY04238
FL11547,DLY04239
FL11549,DLY04240
FL11550,DLY04241
FL11554,DLY04242
FL11556,DLY04243
FL11560,DLY04244
FL11564,DLY04245
FL11565,DLY04246
FL11567,DLY04247
FL11575,DLY04248
FL11577,DLY04249
FL11578,DLY04250
FL11579,DLY04251
FL11585,DLY04252
FL11586,DLY04253
FL11587,DLY04254
FL11593,DLY04255
FL11594,DLY04256
FL11596,DLY04257
FL11598,DLY04258
FL11603,DLY04259
FL11606,DLY04260
FL11607,DLY04261
FL11610,DLY04262
FL11614,DLY04263
FL11615,DLY04264
FL11621,DLY04265
FL11625,DLY04266
FL11631,DLY04267
FL11635,DLY04268
FL11636,DLY04269
FL11638,DLY04270
FL11640,DLY04271
FL11642,DLY04272
FL11652,DLY04273
FL11656,DLY04274
FL11658,DLY04275
FL11659,DLY04276
FL11661,DLY04277
FL11665,DLY04278
FL11669,DLY04279
FL11672,DLY04280
FL11675,DLY04281
FL11676,DLY04282
FL11677,DLY04283
FL11681,DLY04284
FL11682,DLY04285
FL11688,DLY04286
FL11695,DLY04287
FL11702,DLY04288
FL11705,DLY04289
FL11707,DLY04290
FL11710,DLY04291
FL11712,DLY04292
FL11713,DLY04293
FL11719,DLY04294
FL11721,DLY04295
FL11722,DLY04296
FL11723,DLY04297
FL11725,DLY04298
FL11726,DLY04299
FL11730,DLY04300
FL11736,DLY04301
FL11739,DLY04302
FL11741,DLY04303
FL11742,DLY04304
FL11746,DLY04305
FL11747,DLY04306
FL11748,DLY04307
FL11752,DLY04308
FL11754,DLY04309
FL11757,DLY04310
FL11761,DLY04311
FL11764,DLY04312
FL11767,DLY04313
FL11776,DLY04314
FL11786,DLY04315
FL11790,DLY04316
FL11791,DLY04317
FL11795,DLY04318
FL11797,DLY04319
FL11798,DLY04320
FL11800,DLY04321
FL11802,DLY04322
FL11804,DLY04323
FL11806,DLY04324
FL11810,DLY04325
FL11811,DLY04326
FL11814,DLY04327
FL11816,DLY04328
FL11819,DLY04329
FL11821,DLY04330
FL11823,DLY04331
FL11825,DLY04332
FL11827,DLY04333
FL11829,DLY04334
FL11831,DLY04335
FL11832,DLY04336
FL11833,DLY04337
FL11836,DLY04338
FL11837,DLY04339
FL11840,DLY04340
FL11843,DLY04341
FL11845,DLY04342
FL11846,DLY04343
FL11849,DLY04344
FL11852,DLY04345
FL11854,DLY04346
FL11856,DLY04347
FL11857,DLY04348
FL11859,DLY04349
FL11864,DLY04350
FL11873,DLY04351
FL11880,DLY04352
FL11882,DLY04353
FL11886,DLY04354
FL11889,DLY04355
FL11890,DLY04356
FL11893,DLY04357
FL11895,DLY04358
FL11897,DLY04359
FL11899,DLY04360
FL11902,DLY04361
FL11910,DLY04362
FL11913,DLY04363
FL11914,DLY04364
FL11918,DLY04365
FL11921,DLY04366
FL11926,DLY04367
FL11928,DLY04368
FL11930,DLY04369
FL11933,DLY04370
FL11934,DLY04371
FL11937,DLY04372
FL11940,DLY04373
FL11946,DLY04374
FL11948,DLY04375
FL11950,DLY04376
FL11951,DLY04377
FL11953,DLY04378
FL11955,DLY04379
FL11956,DLY04380
FL11957,DLY04381
FL11960,DLY04382
FL11961,DLY04383
FL11963,DLY04384
FL11964,DLY04385
FL11965,DLY04386
FL11967,DLY04387
FL11972,DLY04388
FL11974,DLY04389
FL11978,DLY04390
FL11979,DLY04391
FL11983,DLY04392
FL11989,DLY04393
FL11990,DLY04394
FL11995,DLY04395
FL11999,DLY04396
FL12001,DLY04397
FL12002,DLY04398
FL12007,DLY04399
