:ID(Delay),cause,minutes
DLY03988,Carrier,45
DLY03989,Weather,25
DLY03990,Weather,128
DLY03991,Maintenance,67
DLY03992,Weather,165
DLY03993,NAS,56
DLY03994,Weather,67
DLY03995,Carrier,50
DLY03996,Maintenance,113
DLY03997,Maintenance,134
DLY03998,Weather,163
DLY03999,Weather,178
DLY04000,NAS,31
DLY04001,Weather,37
DLY04002,Maintenance,92
DLY04003,Weather,67
DLY04004,Carrier,55
DLY04005,Weather,44
DLY04006,NAS,58
DLY04007,Maintenance,172
DLY04008,Weather,158
DLY04009,Weather,154
DLY04010,NAS,36
DLY04011,NAS,82
DLY04012,Maintenance,217
DLY04013,NAS,45
DLY04014,Weather,148
DLY04015,Weather,173
DLY04016,Weather,68
DLY04017,Weather,162
DLY04018,Carrier,57
DLY04019,NAS,62
DLY04020,Maintenance,119
DLY04021,Maintenance,37
DLY04022,Carrier,11
DLY04023,NAS,50
DLY04024,NAS,84
DLY04025,Weather,42
DLY04026,Weather,149
DLY04027,Maintenance,95
DLY04028,Carrier,25
DLY04029,NAS,70
DLY04030,Weather,120
DLY04031,Weather,21
DLY04032,Maintenance,195
DLY04033,Carrier,18
DLY04034,Maintenance,227
DLY04035,NAS,83
DLY04036,Maintenance,48
DLY04037,Weather,145
DLY04038,Weather,86
DLY04039,Weather,90
DLY04040,Maintenance,97
DLY04041,NAS,66
DLY04042,Maintenance,223
DLY04043,Weather,58
DLY04044,Carrier,19
DLY04045,NAS,16
DLY04046,Carrier,14
DLY04047,Weather,81
DLY04048,NAS,18
DLY04049,Maintenance,123
DLY04050,NAS,20
DLY04051,Maintenance,211
DLY04052,NAS,27
DLY04053,Weather,48
DLY04054,NAS,60
DLY04055,Weather,171
DLY04056,Maintenance,80
DLY04057,Carrier,22
DLY04058,Carrier,27
DLY04059,Weather,42
DLY04060,Carrier,48
DLY04061,Weather,128
DLY04062,Maintenance,192
DLY04063,NAS,86
DLY04064,Maintenance,183
DLY04065,Weather,149
DLY04066,NAS,44
DLY04067,Weather,140
DLY04068,Carrier,15
DLY04069,Maintenance,118
DLY04070,Weather,170
DLY04071,NAS,66
DLY04072,Maintenance,135
DLY04073,Maintenance,32
DLY04074,Weather,58
DLY04075,Carrier,54
DLY04076,NAS,67
DLY04077,Maintenance,43
DLY04078,Maintenance,145
DLY04079,Weather,31
DLY04080,NAS,48
DLY04081,NAS,50
DLY04082,Weather,121
DLY04083,Weather,94
DLY04084,Carrier,32
DLY04085,Weather,61
DLY04086,Carrier,38
DLY04087,NAS,58
DLY04088,Maintenance,47
DLY04089,NAS,38
DLY04090,Carrier,10
DLY04091,NAS,56
DLY04092,Carrier,26
DLY04093,Carrier,15
DLY04094,Weather,45
DLY04095,NAS,38
DLY04096,Weather,81
DLY04097,Carrier,37
DLY04098,Maintenance,114
DLY04099,NAS,41
DLY04100,Weather,31
DLY04101,Maintenance,215
DLY04102,Carrier,38
DLY04103,Weather,102
DLY04104,Weather,50
DLY04105,NAS,42
DLY04106,Weather,118
DLY04107,NAS,34
DLY04108,Maintenance,116
DLY04109,Maintenance,77
DLY04110,Maintenance,179
DLY04111,Carrier,39
DLY04112,NAS,37
DLY04113,NAS,44
DLY04114,NAS,36
DLY04115,Carrier,24
DLY04116,NAS,50
DLY04117,Carrier,59
DLY04118,Carrier,36
DLY04119,NAS,38
DLY04120,Maintenance,129
DLY04121,Carrier,45
DLY04122,NAS,75
DLY04123,NAS,30
DLY04124,Weather,79
DLY04125,Carrier,23
DLY04126,Maintenance,158
DLY04127,Maintenance,69
DLY04128,Weather,43
DLY04129,NAS,55
DLY04130,Weather,98
DLY04131,Maintenance,149
DLY04132,Maintenance,38
DLY04133,Carrier,34
DLY04134,Carrier,59
DLY04135,Weather,104
DLY04136,Maintenance,226
DLY04137,NAS,31
DLY04138,Maintenance,181
DLY04139,Weather,153
DLY04140,NAS,28
DLY04141,Weather,21
DLY04142,Carrier,36
DLY04143,Weather,51
DLY04144,Weather,176
DLY04145,Weather,61
DLY04146,Maintenance,133
DLY04147,Carrier,39
DLY04148,Maintenance,195
DLY04149,Weather,168
DLY04150,Weather,57
DLY04151,Maintenance,64
DLY04152,Carrier,56
DLY04153,Carrier,44
DLY04154,Maintenance,59
DLY04155,Weather,77
DLY04156,Maintenance,235
DLY04157,Weather,148
DLY04158,Weather,168
DLY04159,Weather,44
DLY04160,Maintenance,152
DLY04161,NAS,49
DLY04162,Maintenance,39
DLY04163,Maintenance,83
DLY04164,Weather,135
DLY04165,NAS,83
DLY04166,Carrier,25
DLY04167,Maintenance,187
DLY04168,Weather,117
DLY04169,Weather,180
DLY04170,Weather,130
DLY04171,Weather,158
DLY04172,Carrier,41
DLY04173,Weather,135
DLY04174,Weather,75
DLY04175,Maintenance,43
DLY04176,Maintenance,234
DLY04177,Weather,28
DLY04178,Weather,63
DLY04179,NAS,16
DLY04180,Weather,126
DLY04181,Weather,114
DLY04182,NAS,54
DLY04183,Weather,147
DLY04184,Weather,131
DLY04185,NAS,16
DLY04186,NAS,85
DLY04187,NAS,73
DLY04188,NAS,17
DLY04189,NAS,28
DLY04190,Maintenance,231
DLY04191,Maintenance,152
DLY04192,Maintenance,105
DLY04193,Weather,158
DLY04194,Maintenance,125
DLY04195,NAS,36
DLY04196,Weather,36
DLY04197,Carrier,16
DLY04198,Weather,128
DLY04199,Weather,149
DLY04200,Carrier,24
DLY04201,Weather,83
DLY04202,Maintenance,84
DLY04203,Carrier,57
DLY04204,NAS,61
DLY04205,Weather,135
DLY04206,Weather,138
DLY04207,NAS,19
DLY04208,Carrier,56
DLY04209,Maintenance,144
DLY04210,Maintenance,110
DLY04211,Weather,109
DLY04212,Weather,155
DLY04213,Weather,59
DLY04214,Carrier,27
DLY04215,NAS,33
DLY04216,Maintenance,228
DLY04217,Maintenance,214
DLY04218,NAS,45
DLY04219,Weather,117
DLY04220,Carrier,54
DLY04221,Weather,162
DLY04222,NAS,81
DLY04223,Weather,79
DLY04224,Weather,73
DLY04225,Maintenance,73
DLY04226,Maintenance,219
DLY04227,NAS,84
DLY04228,NAS,54
DLY04229,Carrier,31
DLY04230,NAS,19
DLY04231,NAS,71
DLY04232,Weather,166
DLY04233,Maintenance,210
DLY04234,NAS,18
DLY04235,Maintenance,219
DLY04236,NAS,83
DLY04237,Carrier,12
DLY04238,Maintenance,168
DLY04239,NAS,30
DLY04240,Maintenance,141
DLY04241,Weather,57
DLY04242,Maintenance,79
DLY04243,Weather,161
DLY04244,Weather,158
DLY04245,Weather,94
DLY04246,Maintenance,123
DLY04247,NAS,20
DLY04248,NAS,45
DLY04249,NAS,75
DLY04250,NAS,43
DLY04251,NAS,21
DLY04252,NAS,53
DLY04253,Maintenance,227
DLY04254,Weather,55
DLY04255,Weather,127
DLY04256,Weather,60
DLY04257,Maintenance,167
DLY04258,Maintenance,184
DLY04259,NAS,52
DLY04260,Maintenance,56
DLY04261,NAS,48
DLY04262,Carrier,15
DLY04263,Maintenance,104
DLY04264,Maintenance,159
DLY04265,Weather,174
DLY04266,Weather,114
DLY04267,NAS,35
DLY04268,Maintenance,219
DLY04269,Maintenance,51
DLY04270,Weather,139
DLY04271,Weather,177
DLY04272,Weather,159
DLY04273,Weather,174
DLY04274,Carrier,60
DLY04275,Maintenance,73
DLY04276,NAS,52
DLY04277,NAS,78
DLY04278,Weather,104
DLY04279,Maintenance,48
DLY04280,Maintenance,190
DLY04281,Maintenance,70
DLY04282,Weather,140
DLY04283,Maintenance,125
DLY04284,Weather,175
DLY04285,Maintenance,211
DLY04286,Weather,72
DLY04287,Carrier,32
DLY04288,Weather,61
DLY04289,NAS,63
DLY04290,Maintenance,72
DLY04291,Weather,148
DLY04292,Maintenance,157
DLY04293,Carrier,36
DLY04294,Carrier,29
DLY04295,Weather,155
DLY04296,Maintenance,161
DLY04297,Maintenance,172
DLY04298,Maintenance,154
DLY04299,NAS,68
DLY04300,Maintenance,188
DLY04301,Weather,58
DLY04302,NAS,35
DLY04303,Maintenance,175
DLY04304,NAS,43
DLY04305,Maintenance,116
DLY04306,Carrier,42
DLY04307,Carrier,22
DLY04308,Maintenance,225
DLY04309,Carrier,27
DLY04310,Maintenance,108
DLY04311,Weather,121
DLY04312,Weather,98
DLY04313,Maintenance,133
DLY04314,NAS,64
DLY04315,Weather,126
DLY04316,Weather,117
DLY04317,Weather,80
DLY04318,NAS,82
DLY04319,Maintenance,134
DLY04320,Carrier,18
DLY04321,NAS,29
DLY04322,Maintenance,105
DLY04323,Weather,165
DLY04324,Carrier,58
DLY04325,Maintenance,154
DLY04326,NAS,82
DLY04327,Weather,93
DLY04328,Maintenance,208
DLY04329,Maintenance,234
DLY04330,Weather,173
DLY04331,Carrier,24
DLY04332,Maintenance,80
DLY04333,NAS,41
DLY04334,Carrier,30
DLY04335,NAS,80
DLY04336,Weather,40
DLY04337,Maintenance,33
DLY04338,Weather,175
DLY04339,Carrier,50
DLY04340,Weather,36
DLY04341,Maintenance,202
DLY04342,Maintenance,222
DLY04343,Weather,171
DLY04344,Maintenance,126
DLY04345,Carrier,41
DLY04346,Weather,84
DLY04347,Carrier,19
DLY04348,Carrier,59
DLY04349,Weather,89
DLY04350,Maintenance,110
DLY04351,Weather,44
DLY04352,NAS,83
DLY04353,Weather,111
DLY04354,Maintenance,178
DLY04355,NAS,36
DLY04356,Weather,148
DLY04357,NAS,31
DLY04358,Carrier,44
DLY04359,Carrier,33
DLY04360,Weather,56
DLY04361,Maintenance,66
DLY04362,Weather,87
DLY04363,NAS,25
DLY04364,Maintenance,94
DLY04365,Maintenance,161
DLY04366,Maintenance,86
DLY04367,NAS,89
DLY04368,Carrier,45
DLY04369,Maintenance,67
DLY04370,Maintenance,130
DLY04371,Maintenance,165
DLY04372,Weather,57
DLY04373,NAS,35
DLY04374,Weather,72
DLY04375,Maintenance,182
DLY04376,NAS,62
DLY04377,Carrier,32
DLY04378,Weather,52
DLY04379,Weather,96
DLY04380,Maintenance,68
DLY04381,Carrier,60
DLY04382,NAS,35
DLY04383,NAS,89
DLY04384,NAS,76
DLY04385,Weather,23
DLY04386,Carrier,38
DLY04387,Weather,91
DLY04388,Maintenance,230
DLY04389,Weather,25
DLY04390,NAS,36
DLY04391,NAS,26
DLY04392,Weather,154
DLY04393,Carrier,31
DLY04394,Weather,108
DLY04395,Maintenance,81
DLY04396,Weather,147
DLY04397,Carrier,55
DLY04398,Weather,131
DLY04399,NAS,59
DLY04400,Weather,123
DLY04401,Carrier,39
DLY04402,NAS,52
DLY04403,Maintenance,95
DLY04404,NAS,22
DLY04405,NAS,37
DLY04406,Carrier,27
DLY04407,Carrier,34
DLY04408,Maintenance,43
DLY04409,NAS,29
DLY04410,Weather,33
DLY04411,NAS,36
DLY04412,Maintenance,128
DLY04413,Carrier,21
DLY04414,Weather,92
DLY04415,Carrier,49
DLY04416,Weather,42
DLY04417,Carrier,35
DLY04418,Weather,141
DLY04419,Maintenance,61
DLY04420,Weather,78
DLY04421,Weather,71
DLY04422,Weather,118
DLY04423,NAS,52
DLY04424,Carrier,33
DLY04425,NAS,59
DLY04426,Carrier,48
DLY04427,NAS,64
DLY04428,Maintenance,151
DLY04429,Weather,49
DLY04430,Carrier,42
DLY04431,Maintenance,134
DLY04432,NAS,35
DLY04433,Weather,131
DLY04434,Carrier,45
DLY04435,Weather,148
DLY04436,NAS,48
DLY04437,Weather,74
DLY04438,Maintenance,110
DLY04439,Maintenance,127
DLY04440,Maintenance,100
DLY04441,NAS,19
DLY04442,Maintenance,202
DLY04443,Weather,112
DLY04444,NAS,44
DLY04445,Maintenance,41
DLY04446,NAS,51
DLY04447,Maintenance,124
DLY04448,Carrier,32
DLY04449,Maintenance,151
DLY04450,Weather,39
DLY04451,NAS,73
DLY04452,Carrier,40
DLY04453,Carrier,17
DLY04454,Maintenance,116
DLY04455,Weather,140
DLY04456,Maintenance,111
DLY04457,NAS,18
DLY04458,Carrier,46
DLY04459,Carrier,37
DLY04460,NAS,15
DLY04461,Weather,93
DLY04462,Carrier,31
DLY04463,Maintenance,140
DLY04464,Maintenance,54
DLY04465,NAS,43
DLY04466,Weather,66
DLY04467,Weather,153
DLY04468,Weather,26
DLY04469,Weather,166
DLY04470,Maintenance,168
DLY04471,Carrier,21
DLY04472,NAS,84
DLY04473,Weather,95
DLY04474,Carrier,56
DLY04475,NAS,27
DLY04476,Maintenance,139
DLY04477,NAS,29
DLY04478,Maintenance,228
DLY04479,Weather,143
DLY04480,NAS,62
DLY04481,Carrier,43
DLY04482,Weather,140
DLY04483,Maintenance,49
DLY04484,Maintenance,171
DLY04485,Carrier,48
DLY04486,NAS,81
DLY04487,NAS,33
DLY04488,Maintenance,100
DLY04489,Weather,173
DLY04490,Weather,85
DLY04491,Carrier,50
DLY04492,Maintenance,84
DLY04493,Weather,68
DLY04494,NAS,71
DLY04495,Carrier,34
DLY04496,Maintenance,180
DLY04497,Carrier,23
DLY04498,Maintenance,150
DLY04499,Maintenance,171
DLY04500,NAS,38
DLY04501,Maintenance,211
DLY04502,Weather,48
DLY04503,Maintenance,76
DLY04504,NAS,46
DLY04505,Carrier,40
DLY04506,Weather,125
DLY04507,Carrier,52
DLY04508,NAS,20
DLY04509,NAS,79
DLY04510,NAS,20
DLY04511,Carrier,15
DLY04512,NAS,56
DLY04513,Weather,139
DLY04514,NAS,79
DLY04515,Maintenance,97
DLY04516,Maintenance,140
DLY04517,Carrier,44
DLY04518,NAS,88
DLY04519,Maintenance,50
DLY04520,Maintenance,103
DLY04521,Carrier,37
DLY04522,Weather,23
DLY04523,NAS,49
DLY04524,Weather,36
DLY04525,Carrier,15
DLY04526,Weather,50
DLY04527,Maintenance,226
DLY04528,Weather,46
DLY04529,Weather,156
DLY04530,Carrier,20
DLY04531,Weather,153
DLY04532,Maintenance,146
DLY04533,Maintenance,188
DLY04534,Maintenance,172
DLY04535,NAS,89
DLY04536,Weather,22
DLY04537,Maintenance,124
DLY04538,Maintenance,54
DLY04539,Maintenance,57
DLY04540,Carrier,21
DLY04541,Maintenance,53
DLY04542,Weather,81
DLY04543,Carrier,44
DLY04544,NAS,16
DLY04545,Carrier,40
DLY04546,Maintenance,230
DLY04547,Weather,77
DLY04548,Carrier,18
DLY04549,Maintenance,78
DLY04550,Maintenance,69
DLY04551,NAS,63
DLY04552,Weather,124
DLY04553,Weather,122
DLY04554,Carrier,24
DLY04555,Carrier,52
DLY04556,Weather,120
DLY04557,Weather,65
DLY04558,NAS,42
DLY04559,Carrier,21
DLY04560,NAS,35
DLY04561,Maintenance,123
DLY04562,NAS,37
DLY04563,Weather,121
DLY04564,Weather,102
DLY04565,Carrier,49
DLY04566,NAS,59
DLY04567,Maintenance,42
DLY04568,NAS,43
DLY04569,NAS,34
DLY04570,Maintenance,191
DLY04571,Maintenance,53
DLY04572,Carrier,25
DLY04573,Weather,87
DLY04574,Maintenance,193
DLY04575,Weather,24
DLY04576,Weather,61
DLY04577,NAS,50
DLY04578,Weather,172
DLY04579,Maintenance,225
DLY04580,Weather,62
DLY04581,Maintenance,188
DLY04582,NAS,42
DLY04583,NAS,42
DLY04584,Maintenance,147
DLY04585,Maintenance,214
DLY04586,Maintenance,129
DLY04587,Carrier,18
DLY04588,Carrier,32
DLY04589,NAS,70
DLY04590,NAS,72
DLY04591,Maintenance,232
DLY04592,Maintenance,214
DLY04593,Carrier,29
DLY04594,NAS,77
DLY04595,Weather,165
DLY04596,Maintenance,50
DLY04597,Carrier,35
DLY04598,Weather,57
DLY04599,Maintenance,44
DLY04600,Weather,60
DLY04601,Weather,76
DLY04602,NAS,22
DLY04603,Weather,141
DLY04604,Weather,107
DLY04605,NAS,56
DLY04606,Carrier,52
DLY04607,Carrier,19
DLY04608,Carrier,49
DLY04609,NAS,50
DLY04610,Carrier,24
DLY04611,Maintenance,93
DLY04612,Maintenance,75
DLY04613,Carrier,59
DLY04614,Maintenance,101
DLY04615,Maintenance,126
DLY04616,Maintenance,168
DLY04617,NAS,44
DLY04618,NAS,75
DLY04619,Weather,82
DLY04620,Weather,90
DLY04621,Maintenance,36
DLY04622,Maintenance,104
DLY04623,Maintenance,180
DLY04624,Maintenance,135
DLY04625,NAS,29
DLY04626,Maintenance,165
DLY04627,Carrier,26
DLY04628,Carrier,14
DLY04629,Carrier,58
DLY04630,NAS,71
DLY04631,Maintenance,97
DLY04632,NAS,16
DLY04633,Maintenance,178
DLY04634,Weather,56
DLY04635,Maintenance,42
DLY04636,Weather,43
DLY04637,NAS,28
DLY04638,Carrier,39
DLY04639,NAS,58
DLY04640,NAS,37
DLY04641,Carrier,33
DLY04642,NAS,55
DLY04643,Weather,23
DLY04644,Weather,130
DLY04645,Maintenance,76
DLY04646,NAS,67
DLY04647,NAS,32
DLY04648,Weather,171
DLY04649,Carrier,17
DLY04650,Weather,120
DLY04651,Weather,23
DLY04652,Maintenance,238
DLY04653,NAS,20
DLY04654,Weather,46
DLY04655,Maintenance,107
DLY04656,Carrier,23
DLY04657,Carrier,22
DLY04658,Weather,151
DLY04659,Carrier,59
DLY04660,Weather,71
DLY04661,Maintenance,233
DLY04662,NAS,41
DLY04663,Weather,47
DLY04664,NAS,74
DLY04665,Weather,58
DLY04666,Maintenance,195
DLY04667,NAS,27
DLY04668,Carrier,45
DLY04669,Maintenance,196
DLY04670,Carrier,58
DLY04671,Weather,100
DLY04672,Maintenance,207
DLY04673,Carrier,51
DLY04674,Carrier,50
DLY04675,Weather,85
DLY04676,Weather,156
DLY04677,Maintenance,157
DLY04678,Weather,78
DLY04679,Weather,96
DLY04680,NAS,72
DLY04681,Maintenance,79
DLY04682,Weather,45
DLY04683,Weather,176
DLY04684,Weather,77
DLY04685,Weather,49
DLY04686,Maintenance,63
DLY04687,Weather,44
DLY04688,Weather,29
DLY04689,Weather,54
DLY04690,Carrier,48
DLY04691,Weather,163
DLY04692,Carrier,43
DLY04693,Maintenance,56
DLY04694,Carrier,28
DLY04695,NAS,54
DLY04696,Weather,92
DLY04697,Maintenance,133
DLY04698,NAS,35
DLY04699,Carrier,10
DLY04700,NAS,68
DLY04701,Maintenance,51
DLY04702,Weather,106
DLY04703,Weather,156
DLY04704,Carrier,56
DLY04705,Maintenance,43
DLY04706,Maintenance,230
DLY04707,Weather,168
DLY04708,NAS,22
DLY04709,Maintenance,37
DLY04710,Maintenance,70
DLY04711,NAS,87
DLY04712,Weather,23
DLY04713,Carrier,47
DLY04714,NAS,64
DLY04715,Maintenance,126
DLY04716,NAS,86
DLY04717,Maintenance,115
DLY04718,Weather,145
DLY04719,Carrier,30
DLY04720,Weather,93
DLY04721,Weather,82
DLY04722,Carrier,42
DLY04723,NAS,22
DLY04724,Weather,166
DLY04725,Weather,75
DLY04726,NAS,26
DLY04727,Weather,20
DLY04728,Weather,71
DLY04729,Maintenance,170
DLY04730,Carrier,26
DLY04731,Weather,113
DLY04732,Maintenance,209
DLY04733,Maintenance,196
DLY04734,Maintenance,40
DLY04735,Weather,88
DLY04736,Carrier,58
DLY04737,Maintenance,203
DLY04738,Maintenance,35
DLY04739,Weather,65
DLY04740,Carrier,48
DLY04741,Weather,153
DLY04742,Carrier,48
DLY04743,NAS,83
DLY04744,Weather,128
DLY04745,Maintenance,147
DLY04746,NAS,43
DLY04747,Carrier,60
DLY04748,Maintenance,42
DLY04749,Carrier,10
DLY04750,NAS,32
DLY04751,Carrier,33
DLY04752,Weather,21
DLY04753,Weather,71
DLY04754,Weather,78
DLY04755,NAS,78
DLY04756,Weather,82
DLY04757,Carrier,51
DLY04758,Weather,119
DLY04759,Weather,162
DLY04760,NAS,43
DLY04761,Weather,138
DLY04762,Maintenance,170
DLY04763,Carrier,25
DLY04764,Carrier,19
DLY04765,Carrier,19
DLY04766,Carrier,15
DLY04767,NAS,83
DLY04768,Weather,59
DLY04769,Maintenance,70
DLY04770,NAS,22
DLY04771,Weather,152
DLY04772,Weather,36
DLY04773,Maintenance,138
DLY04774,Maintenance,133
DLY04775,Carrier,30
DLY04776,Carrier,12
DLY04777,Maintenance,88
DLY04778,Weather,139
DLY04779,NAS,29
DLY04780,Carrier,33
DLY04781,Carrier,10
DLY04782,Maintenance,105
DLY04783,Carrier,48
DLY04784,Weather,146
DLY04785,Maintenance,69
DLY04786,NAS,36
DLY04787,Weather,50
DLY04788,Weather,47
DLY04789,Weather,29
DLY04790,Carrier,41
DLY04791,Weather,115
DLY04792,Weather,46
DLY04793,Weather,148
DLY04794,Maintenance,144
DLY04795,NAS,53
DLY04796,Maintenance,120
DLY04797,NAS,69
DLY04798,Weather,172
DLY04799,Maintenance,190
DLY04800,NAS,86
DLY04801,Weather,98
DLY04802,Weather,180
DLY04803,NAS,36
DLY04804,Carrier,34
DLY04805,Weather,84
DLY04806,Weather,145
DLY04807,Maintenance,90
DLY04808,NAS,25
DLY04809,Weather,62
DLY04810,Carrier,46
DLY04811,Maintenance,137
DLY04812,Maintenance,48
DLY04813,NAS,23
DLY04814,Weather,43
DLY04815,NAS,16
DLY04816,NAS,15
DLY04817,Weather,40
DLY04818,Carrier,43
DLY04819,Carrier,20
DLY04820,Carrier,30
DLY04821,Maintenance,146
DLY04822,Carrier,15
DLY04823,NAS,37
DLY04824,NAS,63
DLY04825,NAS,66
DLY04826,Carrier,15
DLY04827,Maintenance,85
DLY04828,Carrier,34
DLY04829,Maintenance,229
DLY04830,Maintenance,113
DLY04831,Carrier,52
DLY04832,NAS,37
DLY04833,Carrier,54
DLY04834,Carrier,36
DLY04835,Weather,103
DLY04836,Weather,118
DLY04837,Maintenance,221
DLY04838,Weather,74
DLY04839,Weather,37
DLY04840,Maintenance,149
DLY04841,Maintenance,101
DLY04842,Carrier,24
DLY04843,Weather,116
DLY04844,Maintenance,218
DLY04845,NAS,89
DLY04846,NAS,58
DLY04847,NAS,44
DLY04848,NAS,30
DLY04849,Weather,173
DLY04850,Weather,124
DLY04851,Carrier,44
DLY04852,NAS,34
DLY04853,Maintenance,169
DLY04854,Maintenance,105
DLY04855,NAS,32
DLY04856,NAS,64
DLY04857,NAS,37
DLY04858,Maintenance,118
DLY04859,NAS,24
DLY04860,Weather,177
DLY04861,Carrier,22
DLY04862,Carrier,12
DLY04863,Maintenance,79
DLY04864,Maintenance,82
DLY04865,Carrier,10
DLY04866,Carrier,31
DLY04867,Carrier,56
DLY04868,NAS,18
DLY04869,NAS,89
DLY04870,Carrier,36
DLY04871,Carrier,35
DLY04872,Weather,68
DLY04873,NAS,41
DLY04874,Maintenance,31
DLY04875,Weather,102
DLY04876,NAS,41
DLY04877,NAS,68
DLY04878,Maintenance,144
DLY04879,Weather,23
DLY04880,NAS,73
DLY04881,Weather,107
DLY04882,Maintenance,175
DLY04883,Carrier,24
DLY04884,Maintenance,124
DLY04885,Weather,175
DLY04886,Carrier,47
DLY04887,NAS,85
DLY04888,Maintenance,139
DLY04889,Weather,175
DLY04890,NAS,40
DLY04891,Maintenance,43
DLY04892,Carrier,26
DLY04893,Weather,125
DLY04894,Weather,161
DLY04895,Maintenance,152
DLY04896,Weather,177
DLY04897,Weather,157
DLY04898,Maintenance,156
DLY04899,NAS,54
DLY04900,Weather,53
DLY04901,Carrier,49
DLY04902,NAS,77
DLY04903,NAS,28
DLY04904,NAS,25
DLY04905,Weather,124
DLY04906,Carrier,55
DLY04907,Maintenance,32
DLY04908,Maintenance,77
DLY04909,NAS,60
DLY04910,Weather,23
DLY04911,Carrier,24
DLY04912,Weather,114
DLY04913,Maintenance,79
DLY04914,Maintenance,47
DLY04915,Maintenance,77
DLY04916,NAS,30
DLY04917,Weather,65
DLY04918,Maintenance,183
DLY04919,Weather,161
DLY04920,Weather,150
DLY04921,Maintenance,224
DLY04922,NAS,86
DLY04923,Maintenance,162
DLY04924,Carrier,56
DLY04925,Weather,32
DLY04926,Weather,94
DLY04927,NAS,15
DLY04928,Maintenance,125
DLY04929,Maintenance,109
DLY04930,NAS,43
DLY04931,NAS,65
DLY04932,Maintenance,116
DLY04933,Carrier,24
DLY04934,Weather,171
DLY04935,Maintenance,178
DLY04936,Maintenance,156
DLY04937,Weather,41
DLY04938,Maintenance,43
DLY04939,Weather,136
DLY04940,Maintenance,153
DLY04941,Weather,75
DLY04942,Maintenance,155
DLY04943,NAS,38
DLY04944,NAS,78
DLY04945,NAS,39
DLY04946,Weather,41
DLY04947,Carrier,44
DLY04948,NAS,60
DLY04949,NAS,44
DLY04950,NAS,56
DLY04951,NAS,75
DLY04952,Weather,71
DLY04953,NAS,15
DLY04954,Maintenance,94
DLY04955,Maintenance,116
DLY04956,Carrier,60
DLY04957,Maintenance,168
DLY04958,Carrier,27
DLY04959,Carrier,51
DLY04960,Maintenance,106
DLY04961,Maintenance,229
DLY04962,NAS,22
DLY04963,Maintenance,218
DLY04964,Weather,76
DLY04965,Maintenance,151
DLY04966,Weather,27
DLY04967,Maintenance,182
DLY04968,Carrier,60
DLY04969,Carrier,27
DLY04970,Weather,26
DLY04971,Weather,147
DLY04972,Maintenance,236
DLY04973,NAS,73
DLY04974,Weather,148
DLY04975,Maintenance,160
DLY04976,Maintenance,63
DLY04977,NAS,48
DLY04978,Weather,95
DLY04979,NAS,23
DLY04980,Weather,149
DLY04981,NAS,87
DLY04982,NAS,71
DLY04983,Carrier,60
DLY04984,Weather,136
DLY04985,Weather,43
DLY04986,Weather,171
DLY04987,Weather,135
DLY04988,Carrier,13
DLY04989,Carrier,45
DLY04990,Carrier,20
DLY04991,Carrier,14
DLY04992,Weather,110
DLY04993,Weather,80
DLY04994,Maintenance,52
DLY04995,Weather,168
DLY04996,NAS,63
DLY04997,Weather,150
DLY04998,NAS,79
DLY04999,NAS,25
DLY05000,Carrier,26
DLY05001,Maintenance,96
DLY05002,Carrier,16
DLY05003,Weather,52
DLY05004,NAS,81
DLY05005,Weather,57
DLY05006,Weather,174
DLY05007,NAS,21
DLY05008,NAS,23
DLY05009,Maintenance,71
DLY05010,Maintenance,39
DLY05011,Weather,91
DLY05012,Maintenance,77
DLY05013,NAS,42
DLY05014,Carrier,58
DLY05015,Maintenance,216
DLY05016,Weather,114
DLY05017,Weather,101
DLY05018,Weather,20
DLY05019,NAS,24
DLY05020,Carrier,49
DLY05021,NAS,30
DLY05022,Weather,89
DLY05023,Weather,116
DLY05024,NAS,30
DLY05025,Carrier,13
DLY05026,Maintenance,171
DLY05027,Carrier,50
DLY05028,Maintenance,161
DLY05029,Maintenance,53
DLY05030,NAS,16
DLY05031,Maintenance,148
DLY05032,Maintenance,79
DLY05033,Weather,93
DLY05034,NAS,31
DLY05035,Weather,65
DLY05036,NAS,65
DLY05037,Maintenance,190
DLY05038,Weather,21
DLY05039,Maintenance,102
DLY05040,Weather,153
DLY05041,Weather,139
DLY05042,Carrier,23
DLY05043,Maintenance,87
DLY05044,Weather,42
DLY05045,Weather,114
DLY05046,Carrier,32
DLY05047,Maintenance,72
DLY05048,Maintenance,87
DLY05049,Maintenance,63
DLY05050,Maintenance,109
DLY05051,Carrier,18
DLY05052,Carrier,11
DLY05053,Weather,36
DLY05054,Carrier,27
DLY05055,Carrier,41
DLY05056,Weather,97
DLY05057,Carrier,18
DLY05058,Weather,136
DLY05059,NAS,52
DLY05060,Maintenance,111
DLY05061,Weather,163
DLY05062,Weather,103
DLY05063,Weather,133
DLY05064,Weather,118
DLY05065,NAS,78
DLY05066,Carrier,29
DLY05067,Carrier,29
DLY05068,Maintenance,72
DLY05069,NAS,35
DLY05070,Maintenance,105
DLY05071,NAS,49
DLY05072,Carrier,60
DLY05073,Carrier,47
DLY05074,Weather,139
DLY05075,Carrier,27
DLY05076,Weather,54
DLY05077,Maintenance,126
DLY05078,Weather,150
DLY05079,NAS,55
DLY05080,NAS,88
DLY05081,NAS,17
DLY05082,Weather,172
DLY05083,Weather,136
DLY05084,Weather,106
DLY05085,Weather,43
